featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABTB2,0.14641752958554427,-0.6810389521225361,0.24745776526102775,-2.7521421742581023,0.0059206810400021445,0.008827208058326768
ABTB3,0.9180703241057414,-0.6671214462696882,0.11468329301358192,-5.817076129743512,5.988587218909047e-09,1.2441530131262913e-08
ACAA1,24.968687857000745,-0.0305977793292259,0.01821644067196469,-1.6796793556008025,0.09301971856212696,0.12361599650127647
ACAA2,30.699813662802345,-0.24404464577166615,0.026837149677334176,-9.093538200063723,9.586735489029338e-20,3.1789976645224643e-19
ACAA2P1,0.0,,,,,
ACACA,2.5376208629483337,-0.6661399049322114,0.07082435005190367,-9.405520904096266,5.177311494105111e-21,1.8267841679606537e-20
ACACB,0.6544119195640151,-0.13745556700312847,0.10377351760056347,-1.3245726865712617,0.18531292003318633,0.2362499687780596
ACAD10,2.137630642118243,-0.40000079308347836,0.05546151981543949,-7.212221994899703,5.504613461317413e-13,1.3609882520420194e-12
ACAD11,2.1320005252813017,-0.5161313449495373,0.07268556931898587,-7.100877791635058,1.2396696328420225e-12,3.0155285532454736e-12
ACAD8,5.747648598416564,-0.162324713660895,0.03556319277777102,-4.564402152394962,5.009197610952647e-06,9.013991264077757e-06
ACAD9,5.206846037445005,-0.06118258887642825,0.043527425787446415,-1.4056100899510051,0.1598399382335326,0.2058371430688801
ACAD9-DT,0.0002712383557769854,0.5627233105068148,2.931329261777509,0.19196864638999606,0.847766765178587,
ACADL,0.0043273191329851746,0.5621130985650682,2.9313263103152085,0.19176067044703174,0.8479296795992348,
ACADM,10.968511348864164,-0.013108634680675177,0.03404787874238769,-0.3850059141674416,0.7002330337912661,0.75357635473841
ACADS,7.7075736312809475,0.0015118479107903342,0.03595371211880767,0.042049841913249196,0.966458965127007,0.972895409407702
ACADSB,4.944326936759022,-0.5207003344148514,0.04990862749947972,-10.433072606941145,1.7513170853286542e-25,7.799304413486251e-25
ACADVL,38.28776766521368,-0.34179529686562604,0.02657304220644325,-12.862482745116397,7.318757697858758e-38,6.791126328943359e-37
ACAN,0.0013321018900661317,0.555749115210941,2.931280394137454,0.18959261499597116,0.8496283746309662,
ACAP1,110.15902658874322,0.3235885572355219,0.027961157699404014,11.57278824840715,5.661245874650092e-31,3.3974379206284274e-30
ACAP2,36.80313697833007,-0.5518124257509829,0.034966212048316396,-15.781304105474367,4.184522208797414e-56,2.1450035197387574e-54
ACAP2-IT1,0.007935855507958446,0.4627558376588991,1.3875279366535989,0.33351100574952075,0.7387485831553822,
ACAP3,4.754087669509788,0.15337456303391156,0.044370133611847204,3.456707261141969,0.0005468185207221216,0.0008764175248529672
