featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MXRA7,9.363656621672888,-1.5209111963651238,0.09242641977591069,-16.455372825785062,7.674785224711788e-61,7.405415311922883e-59
MYADM,23.401331227480586,-1.016653743945032,0.07496655930381749,-13.561429968058592,6.780128561034797e-42,8.772571248602691e-41
MYADM-AS1,1.0927790804016837,-1.4089547199259285,0.15175707358942933,-9.284277079154679,1.6280861266865693e-20,5.617068354352378e-20
MYBBP1A,3.291113698096123,-1.0192215802207576,0.08094525920336966,-12.591491957052483,2.3518563701030404e-36,1.9682797954552825e-35
MYH9,81.0458025791944,-1.0641857479042136,0.05886000929614115,-18.079945291037888,4.5853668304336926e-73,2.2564590172564204e-70
MYL12-AS1,1.114645121130103,-1.5039131273549902,0.1350422935615663,-11.13660830019412,8.322892572175638e-29,4.381985129922573e-28
MYL9,1.6896023964963631,-1.0464017791807687,0.11259434669945345,-9.293555225946776,1.4921892185664213e-20,5.154232436522246e-20
MYO18A,2.378732125997416,-1.3973304816910923,0.10860159438939065,-12.86657428509722,6.941310236484015e-38,6.448997043499906e-37
MYO1D,1.0442816959601733,-1.1994796698527195,0.12251784821418853,-9.790244338569849,1.2399588050421246e-22,4.754678399697892e-22
MYO1E,1.463660832181472,-1.1193847027649775,0.12048984070885245,-9.290282866833733,1.538788259851014e-20,5.3127060524276237e-20
NAGLU,5.869793038446307,-1.1045581499404007,0.06648123257422867,-16.61458590899503,5.465090067486417e-62,6.206240358946306e-60
NBPF10,3.12498580282701,-1.9220827656494774,0.14076026904472616,-13.655009177616318,1.8846559389970964e-42,2.5690836221065684e-41
NBPF11,3.3582646458625987,-1.0170729217599306,0.08503981527689887,-11.959961559749756,5.758857348856786e-33,3.883874419423149e-32
NBPF14,5.144799522102702,-1.4714360000123157,0.10413931106594368,-14.129496200340377,2.499258606755267e-45,4.2803427855600935e-44
NBPF15,1.3508419711893234,-1.3582009039875231,0.1199608176190792,-11.322037736524294,1.0207132032999419e-29,5.686335479364921e-29
NBPF20,2.5732032995264515,-1.6106426552639137,0.12195769957387946,-13.206568022285625,8.040771736883885e-40,8.702779556570147e-39
NBPF3,1.6357933648008316,-1.129596009935175,0.10547323353678402,-10.709788370536929,9.157090168058686e-27,4.3412370632964155e-26
NCAPD2,5.328479996441901,-1.0020275531750733,0.06938726143677484,-14.441088067557088,2.853023443826005e-47,5.846038127390471e-46
NCBP1,5.207632271589464,-1.0301007982329018,0.06711247876415725,-15.348871285961911,3.604024677700188e-53,1.3137337362194536e-51
NCOA5,3.35276019735338,-1.045929695615032,0.07261166922781857,-14.404429849056838,4.853061594863673e-47,9.761001134192426e-46
NDOR1,2.000183402951737,-1.1561035607282348,0.09934789945634688,-11.636920026036611,2.675020221524526e-31,1.633222643935756e-30
NEDD4,0.781925392301917,-1.3381326324197411,0.14817213910097596,-9.030932809222884,1.702145823809678e-19,5.574263264618961e-19
NEK5,0.91191893341339,1.338263187907835,0.14588067207227198,9.173684004175925,4.571236390991291e-20,1.5425180077761012e-19
NEPRO-AS1,0.5470076491856323,-1.2194259355929915,0.13566300315755986,-8.988640286672283,2.503078232412475e-19,8.13583089940673e-19
NFATC2,36.93179583583443,-1.0590198896135672,0.05735132667138252,-18.465481987568438,3.915129751395817e-76,2.888182434127887e-73
